DataSeriesID,rate,temp,Bioname,unit,curve_id
386606,0.9625,5,Beauveria,millimeter / (1 individual * 1 day),1
386606,1.1,10,Beauveria,millimeter / (1 individual * 1 day),1
386606,1.725,15,Beauveria,millimeter / (1 individual * 1 day),1
386606,2.59,20,Beauveria,millimeter / (1 individual * 1 day),1
386606,4.26,25,Beauveria,millimeter / (1 individual * 1 day),1
386606,3.475,30,Beauveria,millimeter / (1 individual * 1 day),1
386606,1.25,35,Beauveria,millimeter / (1 individual * 1 day),1
387294,0.275,5,Beauveria,millimeter / (1 individual * 1 day),2
387294,0.81,10,Beauveria,millimeter / (1 individual * 1 day),2
387294,1.25,15,Beauveria,millimeter / (1 individual * 1 day),2
387294,2.29,20,Beauveria,millimeter / (1 individual * 1 day),2
387294,2.54,25,Beauveria,millimeter / (1 individual * 1 day),2
387294,2.19,30,Beauveria,millimeter / (1 individual * 1 day),2
387294,0,35,Beauveria,millimeter / (1 individual * 1 day),2
386696,0.925,5,Beauveria,millimeter / (1 individual * 1 day),3
386696,1.21,10,Beauveria,millimeter / (1 individual * 1 day),3
386696,1.975,15,Beauveria,millimeter / (1 individual * 1 day),3
386696,2.7,20,Beauveria,millimeter / (1 individual * 1 day),3
386696,3.53,25,Beauveria,millimeter / (1 individual * 1 day),3
386696,3.05,30,Beauveria,millimeter / (1 individual * 1 day),3
386696,0,35,Beauveria,millimeter / (1 individual * 1 day),3
232818,0,5,Beauveria,millimeter / (1 individual * 1 day),4
232818,1.19,10,Beauveria,millimeter / (1 individual * 1 day),4
232818,1.75,15,Beauveria,millimeter / (1 individual * 1 day),4
232818,2.975,20,Beauveria,millimeter / (1 individual * 1 day),4
232818,4.64,25,Beauveria,millimeter / (1 individual * 1 day),4
232818,2.4,30,Beauveria,millimeter / (1 individual * 1 day),4
232818,0,35,Beauveria,millimeter / (1 individual * 1 day),4
386608,0.7625,5,Beauveria,millimeter / (1 individual * 1 day),5
386608,1.2,10,Beauveria,millimeter / (1 individual * 1 day),5
386608,1.79,15,Beauveria,millimeter / (1 individual * 1 day),5
386608,2.34,20,Beauveria,millimeter / (1 individual * 1 day),5
386608,3.95,25,Beauveria,millimeter / (1 individual * 1 day),5
386608,3.64,30,Beauveria,millimeter / (1 individual * 1 day),5
386608,1.41,35,Beauveria,millimeter / (1 individual * 1 day),5
386607,0.75,5,Beauveria,millimeter / (1 individual * 1 day),6
386607,1.625,10,Beauveria,millimeter / (1 individual * 1 day),6
386607,2.34,15,Beauveria,millimeter / (1 individual * 1 day),6
386607,2.81,20,Beauveria,millimeter / (1 individual * 1 day),6
386607,3.6,25,Beauveria,millimeter / (1 individual * 1 day),6
386607,3.175,30,Beauveria,millimeter / (1 individual * 1 day),6
386607,0.975,35,Beauveria,millimeter / (1 individual * 1 day),6
358840,0.97,5,Beauveria,millimeter / (1 individual * 1 day),7
358840,1.45,10,Beauveria,millimeter / (1 individual * 1 day),7
358840,2.07,15,Beauveria,millimeter / (1 individual * 1 day),7
358840,2.85,20,Beauveria,millimeter / (1 individual * 1 day),7
358840,3.708,25,Beauveria,millimeter / (1 individual * 1 day),7
358840,2.11,30,Beauveria,millimeter / (1 individual * 1 day),7
358840,0,35,Beauveria,millimeter / (1 individual * 1 day),7
331269,0.486,5,Beauveria,millimeter / (1 individual * 1 day),8
331269,1.31,10,Beauveria,millimeter / (1 individual * 1 day),8
331269,2.53,15,Beauveria,millimeter / (1 individual * 1 day),8
331269,3.04,20,Beauveria,millimeter / (1 individual * 1 day),8
331269,3.775,25,Beauveria,millimeter / (1 individual * 1 day),8
331269,2.25,30,Beauveria,millimeter / (1 individual * 1 day),8
331269,0,35,Beauveria,millimeter / (1 individual * 1 day),8
170149,0,5,Metarhizium,millimeter / (1 individual * 1 day),9
170149,1.15,10,Metarhizium,millimeter / (1 individual * 1 day),9
170149,1.76,15,Metarhizium,millimeter / (1 individual * 1 day),9
170149,2.6,20,Metarhizium,millimeter / (1 individual * 1 day),9
170149,3.96,25,Metarhizium,millimeter / (1 individual * 1 day),9
170149,2.975,30,Metarhizium,millimeter / (1 individual * 1 day),9
170149,0,35,Metarhizium,millimeter / (1 individual * 1 day),9
98375,0.96,5,Metarhizium,millimeter / (1 individual * 1 day),10
98375,1.975,10,Metarhizium,millimeter / (1 individual * 1 day),10
98375,3.82,15,Metarhizium,millimeter / (1 individual * 1 day),10
98375,5.79,20,Metarhizium,millimeter / (1 individual * 1 day),10
98375,10.17,25,Metarhizium,millimeter / (1 individual * 1 day),10
98375,9.375,30,Metarhizium,millimeter / (1 individual * 1 day),10
98375,4.42,35,Metarhizium,millimeter / (1 individual * 1 day),10
